 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     3.000     2   1.9672
      2    28.223     1.000     2   2.1213
      3    56.410     2.000     2   2.1219
      4    15.089     1.000     2   2.8866
      5    13.792     1.000     2   2.9984
      6    13.788     1.000     2   2.9988
      7    13.783     1.000     2   2.9992
      8    10.222     1.000     2   3.3980
      9    20.431     2.000     2   3.3989
     10    18.146     2.000     2   3.4331
     11     9.065     1.000     2   3.4343
     12     5.156     4.000     3   3.4688
     13     3.296     4.000     3   3.5442
     14     3.247     4.000     3   3.5441
     15    15.961     2.000     2   3.6130
     16     7.978     1.000     2   3.6134
     17     4.199     2.000     3   3.6665
     18     4.199     2.000     3   3.6665
     19     4.198     2.000     3   3.6662
     20    32.601     4.000     2   3.7297
     21    16.289     2.000     2   3.7307
     22    13.849     2.000     2   3.8202
     23     6.922     1.000     2   3.8207
     24     7.063     4.000     3   3.9091
     25     3.625     2.000     3   3.9091
     26     3.624     2.000     3   3.9095
     27     3.533     2.000     3   3.9099
     28     3.625     2.000     3   3.9099
     29     5.441     3.000     4   3.9344
     30     1.436     2.000     4   3.9342 neglected
     31     6.854     1.000     2   4.0006
     32     8.732     2.000     3   4.0648
     33     8.730     2.000     3   4.0651
     34     8.727     2.000     3   4.0654
     35     5.956     2.000     4   4.0885
     36    11.908     4.000     4   4.0889
     37    16.897     3.000     2   4.1379
     38     4.820     6.000     3   4.2406
     39     2.705     2.000     4   4.2437
     40     3.378     4.000     3   4.3437
     41     9.361     2.000     2   4.4394
     42     4.680     1.000     2   4.4398
     43     4.946     6.000     3   4.4958
     44     4.130     4.000     3   4.5219
     45    12.017     4.000     3   4.5498
     46     6.012     2.000     3   4.5504
     47     4.309     1.000     2   4.5794
     48     4.309     1.000     2   4.5795
     49     4.308     1.000     2   4.5800
     50     6.310     2.000     3   4.6650
     51     6.306     2.000     3   4.6652
     52     6.307     2.000     3   4.6656
     53     4.073     1.000     2   4.6770
     54     8.139     2.000     2   4.6783
     55     3.920     1.000     2   4.7440
     56    11.756     3.000     2   4.7446
     57     3.917     1.000     2   4.7454
     58     3.916     1.000     2   4.7456
     59     2.258     2.000     3   4.8551 neglected
     60     2.256     2.000     3   4.8553 neglected
     61     2.791     2.000     3   4.8551
     62     2.787     2.000     3   4.8553
     63     2.258     2.000     3   4.8558 neglected
     64     2.792     2.000     3   4.8558
     65     3.587     2.000     3   4.8571
     66     3.591     2.000     3   4.8579
     67     3.588     2.000     3   4.8583
     68     2.824     2.000     3   4.9677
     69     8.469     6.000     3   4.9683
     70     2.821     2.000     3   4.9692
     71     2.823     2.000     3   4.9693
     72     3.393     1.000     2   5.0036
     73     3.392     1.000     2   5.0044
     74     3.391     1.000     2   5.0047
     75     7.168     2.000     3   5.0126
     76     7.164     2.000     3   5.0137
     77     7.164     2.000     3   5.0134
     78     3.814     1.000     4   5.0217
     79     7.621     2.000     4   5.0227
     80    14.727     4.000     2   5.0919
     81     7.359     2.000     2   5.0930
     82     5.045     4.000     3   5.2461
     83     4.217     4.000     3   5.2461
     84     3.532     4.000     3   5.2461
     85     2.109     2.000     3   5.2472 neglected
     86     2.788     1.000     2   5.3749
     87     2.787     1.000     2   5.3751
     88     2.786     1.000     2   5.3756
     89    18.371     6.000     2   5.4520
     90     3.945     4.000     3   5.5623
     91     5.039     2.000     2   5.5738
     92     4.243     4.000     3   5.5934
     93     3.880     4.000     3   5.5934
     94     3.178     4.000     3   5.5934
     95     5.358     4.000     3   5.6355
     96     7.234     3.000     2   5.6619
     97     3.714     4.000     3   5.7912
     98     2.767     4.000     4   5.8151
     99     5.037     2.000     2   5.8527
    100     5.035     2.000     2   5.8536
    101     5.033     2.000     2   5.8542
    102     3.606     2.000     3   5.8969
    103     3.163     2.000     3   5.8969
    104     3.603     2.000     3   5.8979
    105     3.161     2.000     3   5.8979
    106     3.603     2.000     3   5.8984
    107     3.160     2.000     3   5.8984
    108     2.453     1.000     2   5.9084 neglected
    109     2.451     1.000     2   5.9099 neglected
    110     2.450     1.000     2   5.9107 neglected
    111     4.239     2.000     2   5.9276
  103 paths kept,  111 examined.
 Done with module 5: F_eff.
