# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 O6
# Reduced formula:  Fe2O3
# space group: (R-3c), space number:  (167)
# abc:  5.091894   5.452030   5.091910
# angles: 62.162605 119.985134 117.837164
# sites: 10
# mp-19770
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.301 Rnm= 1.391 K  shell
# Pot 1 Z=26 Rmt= 1.304 Rnm= 1.397
# Pot 2 Z= 8 Rmt= 1.019 Rnm= 1.091
# Gam_ch=1.309E+00 H-L exch
# Mu=-9.980E-01 kf=2.225E+00 Vint=-1.987E+01 Rs_int= 1.630
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   1.9672
#           2       0.00000     28.22      1.00     2   2.1213
#           3       0.00000     56.41      2.00     2   2.1219
#           4       0.00000     15.09      1.00     2   2.8866
#           5       0.00000     13.79      1.00     2   2.9984
#           6       0.00000     13.79      1.00     2   2.9988
#           7       0.00000     13.78      1.00     2   2.9992
#           8       0.00000     10.22      1.00     2   3.3980
#           9       0.00000     20.43      2.00     2   3.3989
#          10       0.00000     18.15      2.00     2   3.4331
#          11       0.00000      9.06      1.00     2   3.4343
#          12       0.00000      5.16      4.00     3   3.4688
#          15       0.00000     15.96      2.00     2   3.6130
#          16       0.00000      7.98      1.00     2   3.6134
#          17       0.00000      4.20      2.00     3   3.6665
#          18       0.00000      4.20      2.00     3   3.6665
#          19       0.00000      4.20      2.00     3   3.6662
#          20       0.00000     32.60      4.00     2   3.7297
#          21       0.00000     16.29      2.00     2   3.7307
#          22       0.00000     13.85      2.00     2   3.8202
#          23       0.00000      6.92      1.00     2   3.8207
#          24       0.00000      7.06      4.00     3   3.9091
#          29       0.00000      5.44      3.00     4   3.9344
#          31       0.00000      6.85      1.00     2   4.0006
#          32       0.00000      8.73      2.00     3   4.0648
#          33       0.00000      8.73      2.00     3   4.0651
#          34       0.00000      8.73      2.00     3   4.0654
#          35       0.00000      5.96      2.00     4   4.0885
#          36       0.00000     11.91      4.00     4   4.0889
#          37       0.00000     16.90      3.00     2   4.1379
#          38       0.00000      4.82      6.00     3   4.2406
#          41       0.00000      9.36      2.00     2   4.4394
#          42       0.00000      4.68      1.00     2   4.4398
#          43       0.00000      4.95      6.00     3   4.4958
#          44       0.00000      4.13      4.00     3   4.5219
#          45       0.00000     12.02      4.00     3   4.5498
#          46       0.00000      6.01      2.00     3   4.5504
#          47       0.00000      4.31      1.00     2   4.5794
#          48       0.00000      4.31      1.00     2   4.5795
#          49       0.00000      4.31      1.00     2   4.5800
#          50       0.00000      6.31      2.00     3   4.6650
#          51       0.00000      6.31      2.00     3   4.6652
#          52       0.00000      6.31      2.00     3   4.6656
#          53       0.00000      4.07      1.00     2   4.6770
#          54       0.00000      8.14      2.00     2   4.6783
#          56       0.00000     11.76      3.00     2   4.7446
#          69       0.00000      8.47      6.00     3   4.9683
#          75       0.00000      7.17      2.00     3   5.0126
#          76       0.00000      7.16      2.00     3   5.0137
#          77       0.00000      7.16      2.00     3   5.0134
#          79       0.00000      7.62      2.00     4   5.0227
#          80       0.00000     14.73      4.00     2   5.0919
#          81       0.00000      7.36      2.00     2   5.0930
#          82       0.00000      5.05      4.00     3   5.2461
#          83       0.00000      4.22      4.00     3   5.2461
#          89       0.00000     18.37      6.00     2   5.4520
#          91       0.00000      5.04      2.00     2   5.5738
#          92       0.00000      4.24      4.00     3   5.5934
#          95       0.00000      5.36      4.00     3   5.6355
#          96       0.00000      7.23      3.00     2   5.6619
#          99       0.00000      5.04      2.00     2   5.8527
#         100       0.00000      5.03      2.00     2   5.8536
#         101       0.00000      5.03      2.00     2   5.8542
#         111       0.00000      4.24      2.00     2   5.9276
#    64/ 103 paths used
#  xsedge+50, used to normalize mu           3.2008E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7145.327     27.815   2.750  7.51020E-01  9.86355E-01 -2.37702E-01
    7146.384     28.872   2.800  7.48599E-01  9.90840E-01 -2.43975E-01
    7147.461     29.949   2.850  7.49032E-01  9.92230E-01 -2.44727E-01
    7148.556     31.044   2.900  7.56456E-01  9.93619E-01 -2.38447E-01
    7149.670     32.158   2.950  7.70109E-01  9.95009E-01 -2.25923E-01
    7150.804     33.292   3.000  7.89061E-01  9.96399E-01 -2.08101E-01
    7151.956     34.444   3.050  8.11555E-01  9.96427E-01 -1.85519E-01
    7153.128     35.616   3.100  8.37437E-01  9.96454E-01 -1.59545E-01
    7154.319     36.807   3.150  8.65649E-01  9.96481E-01 -1.31244E-01
    7155.528     38.016   3.200  8.95235E-01  9.96508E-01 -1.01574E-01
    7156.757     39.245   3.250  9.25255E-01  9.96405E-01 -7.13320E-02
    7158.005     40.493   3.300  9.54967E-01  9.96302E-01 -4.14237E-02
    7159.272     41.760   3.350  9.83752E-01  9.96198E-01 -1.24687E-02
    7160.557     43.045   3.400  1.01109E+00  9.96095E-01  1.50153E-02
    7161.862     44.350   3.450  1.03623E+00  9.95589E-01  4.06826E-02
    7163.186     45.674   3.500  1.05910E+00  9.95082E-01  6.40614E-02
    7164.529     47.017   3.550  1.07935E+00  9.94575E-01  8.48046E-02
    7165.891     48.379   3.600  1.09664E+00  9.94068E-01  1.02577E-01
    7167.272     49.760   3.650  1.11120E+00  9.93732E-01  1.17457E-01
    7168.673     51.161   3.700  1.12227E+00  9.93397E-01  1.28845E-01
    7170.092     52.580   3.750  1.12963E+00  9.93061E-01  1.36515E-01
    7171.530     54.018   3.800  1.13314E+00  9.92725E-01  1.40330E-01
    7172.987     55.475   3.850  1.13289E+00  9.92301E-01  1.40453E-01
    7174.464     56.952   3.900  1.12887E+00  9.91878E-01  1.36801E-01
    7175.959     58.447   3.950  1.12130E+00  9.91454E-01  1.29605E-01
    7177.474     59.962   4.000  1.11050E+00  9.91030E-01  1.19206E-01
    7179.007     61.495   4.050  1.09744E+00  9.90912E-01  1.06240E-01
    7180.560     63.048   4.100  1.08202E+00  9.90793E-01  9.09355E-02
    7182.131     64.619   4.150  1.06475E+00  9.90675E-01  7.38023E-02
    7183.722     66.210   4.200  1.04617E+00  9.90556E-01  5.53796E-02
    7185.332     67.820   4.250  1.02718E+00  9.90650E-01  3.63591E-02
    7186.961     69.449   4.300  1.00799E+00  9.90743E-01  1.71580E-02
    7188.608     71.096   4.350  9.89273E-01  9.90836E-01 -1.55385E-03
    7190.275     72.763   4.400  9.71779E-01  9.90930E-01 -1.90298E-02
    7191.961     74.449   4.450  9.56338E-01  9.91121E-01 -3.45458E-02
    7193.666     76.154   4.500  9.43685E-01  9.91313E-01 -4.72768E-02
    7195.390     77.878   4.550  9.34594E-01  9.91505E-01 -5.64622E-02
    7197.133     79.621   4.600  9.29645E-01  9.91696E-01 -6.15293E-02
    7198.895     81.383   4.650  9.28991E-01  9.91881E-01 -6.23361E-02
    7200.676     83.165   4.700  9.32660E-01  9.92067E-01 -5.88580E-02
    7202.477     84.965   4.750  9.40076E-01  9.92252E-01 -5.16727E-02
    7204.296     86.784   4.800  9.50214E-01  9.92437E-01 -4.17981E-02
    7206.134     88.622   4.850  9.61608E-01  9.92634E-01 -3.07077E-02
    7207.992     90.480   4.900  9.72828E-01  9.92831E-01 -1.97934E-02
    7209.868     92.356   4.950  9.82380E-01  9.93028E-01 -1.05350E-02
    7211.764     94.252   5.000  9.89068E-01  9.93226E-01 -4.11259E-03
    7213.678     96.166   5.050  9.91975E-01  9.93347E-01 -1.35738E-03
    7215.612     98.100   5.100  9.91211E-01  9.93469E-01 -2.23378E-03
    7217.564    100.052   5.150  9.87355E-01  9.93591E-01 -6.16926E-03
    7219.536    102.024   5.200  9.81521E-01  9.93712E-01 -1.20636E-02
    7221.527    104.015   5.250  9.74612E-01  9.93481E-01 -1.86772E-02
    7223.536    106.024   5.300  9.68651E-01  9.93249E-01 -2.43571E-02
    7225.565    108.053   5.350  9.64864E-01  9.93018E-01 -2.78874E-02
    7227.613    110.101   5.400  9.63971E-01  9.92786E-01 -2.85529E-02
    7229.680    112.168   5.450  9.65853E-01  9.92363E-01 -2.62863E-02
    7231.766    114.254   5.500  9.70265E-01  9.91940E-01 -2.15058E-02
    7233.871    116.359   5.550  9.76207E-01  9.91516E-01 -1.52010E-02
    7235.995    118.483   5.600  9.82456E-01  9.91093E-01 -8.58186E-03
    7238.138    120.626   5.650  9.87718E-01  9.90435E-01 -2.70281E-03
    7240.300    122.788   5.700  9.91367E-01  9.89777E-01  1.58264E-03
    7242.482    124.970   5.750  9.93107E-01  9.89119E-01  3.97360E-03
    7244.682    127.170   5.800  9.93196E-01  9.88461E-01  4.72316E-03
    7246.901    129.389   5.850  9.92130E-01  9.87476E-01  4.64874E-03
    7249.139    131.627   5.900  9.91086E-01  9.86490E-01  4.59521E-03
    7251.397    133.885   5.950  9.90968E-01  9.85505E-01  5.46939E-03
    7253.673    136.161   6.000  9.92388E-01  9.84520E-01  7.88688E-03
    7255.969    138.457   6.050  9.95478E-01  9.83326E-01  1.21991E-02
    7258.283    140.771   6.100  9.99861E-01  9.82132E-01  1.78234E-02
    7260.617    143.105   6.150  1.00474E+00  9.80939E-01  2.39673E-02
    7262.970    145.458   6.200  1.00914E+00  9.79745E-01  2.96386E-02
    7265.341    147.829   6.250  1.01213E+00  9.78551E-01  3.39046E-02
    7267.732    150.220   6.300  1.01308E+00  9.77358E-01  3.61275E-02
    7270.142    152.630   6.350  1.01182E+00  9.76164E-01  3.61083E-02
    7272.571    155.059   6.400  1.00859E+00  9.74970E-01  3.41007E-02
    7275.019    157.507   6.450  1.00399E+00  9.73777E-01  3.06908E-02
    7277.486    159.974   6.500  9.98713E-01  9.72583E-01  2.65807E-02
    7279.972    162.460   6.550  9.93235E-01  9.71331E-01  2.23140E-02
    7282.477    164.965   6.600  9.87772E-01  9.70080E-01  1.80510E-02
    7285.001    167.489   6.650  9.82103E-01  9.68828E-01  1.35650E-02
    7287.544    170.032   6.700  9.75665E-01  9.67577E-01  8.27750E-03
    7290.106    172.594   6.750  9.67764E-01  9.66325E-01  1.47433E-03
    7292.688    175.176   6.800  9.57871E-01  9.65074E-01 -7.39382E-03
    7295.288    177.776   6.850  9.45913E-01  9.63822E-01 -1.84111E-02
    7297.907    180.395   6.900  9.32473E-01  9.62570E-01 -3.09891E-02
    7300.546    183.034   6.950  9.18817E-01  9.61319E-01 -4.38266E-02
    7303.203    185.691   7.000  9.06746E-01  9.60067E-01 -5.50675E-02
    7305.880    188.368   7.050  8.98385E-01  9.59055E-01 -6.27396E-02
    7308.575    191.063   7.100  8.95546E-01  9.58042E-01 -6.47141E-02
    7311.290    193.778   7.150  8.99312E-01  9.57030E-01 -5.98452E-02
    7314.023    196.511   7.200  9.09712E-01  9.56017E-01 -4.80754E-02
    7316.776    199.264   7.250  9.25606E-01  9.55005E-01 -3.05634E-02
    7319.548    202.036   7.300  9.44821E-01  9.53992E-01 -9.54656E-03
    7322.339    204.827   7.350  9.64535E-01  9.52979E-01  1.20451E-02
    7325.149    207.637   7.400  9.81803E-01  9.51967E-01  3.11414E-02
    7327.978    210.466   7.450  9.94133E-01  9.50954E-01  4.51289E-02
    7330.825    213.313   7.500  9.99968E-01  9.49942E-01  5.23547E-02
