PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.3802
        2     0.00000    95.357     6.000     2   2.4342
        3     0.00000    44.730     6.000     2   3.4044
        4     0.00000     5.692    12.000     3   3.5972
        5     0.00000    12.737    24.000     3   3.5972
        6     0.00000     5.825    12.000     3   3.6512
        7     0.00000    11.092     2.000     2   3.8419
        8     0.00000     7.755    24.000     3   4.1094
        9     0.00000    12.103    24.000     3   4.1094
       10     0.00000    12.209    24.000     3   4.1094
       11     0.00000    53.613    12.000     2   4.1851
       12     0.00000    26.306     6.000     2   4.2161
       13     0.00000     7.143    12.000     3   4.3011
       14     0.00000    11.238    24.000     3   4.4997
       15     0.00000    17.393    24.000     3   4.4997
       16     0.00000    17.487    24.000     3   4.4997
       17     0.00000     5.278    12.000     3   4.5422
       18     0.00000    16.130    24.000     3   4.5422
       19     0.00000    43.237    12.000     2   4.5481
       20     0.00000    11.922    12.000     3   4.6542
       21     0.00000    30.810    24.000     3   4.6542
       22     0.00000     4.673    12.000     4   4.7603
       23     0.00000     4.788     6.000     4   4.7603
       24     0.00000     6.457    12.000     4   4.7603
       25     0.00000     3.429    24.000     4   4.8143
       26     0.00000     3.674    12.000     4   4.8143
       27     0.00000     3.748    12.000     4   4.8143
       28     0.00000     4.731    24.000     4   4.8143
       29     0.00000    18.068     6.000     2   4.8683
       30     0.00000     8.738     6.000     3   4.8683
       31     0.00000    52.381    12.000     3   4.8683
       32     0.00000    11.425     6.000     4   4.8683
       33     0.00000     4.293     6.000     4   4.8683
       34     0.00000    42.724     6.000     4   4.8683
       35     0.00000     5.822    24.000     3   5.0119
       36     0.00000     6.215    24.000     3   5.0119
       37     0.00000     7.110    24.000     3   5.1664
       38     0.00000     7.861    24.000     3   5.3907
       39     0.00000     5.116    24.000     3   5.4121
       40     0.00000    27.074    12.000     2   5.4190
       41     0.00000     6.409    24.000     3   5.5567
       42     0.00000     8.777    24.000     3   5.6288
       43     0.00000    11.359    24.000     3   5.6288
       44     0.00000    12.142    24.000     3   5.6288
       45     0.00000    23.520    12.000     2   5.7040
       46     0.00000     5.190    24.000     4   5.7168
       47     0.00000     5.196    24.000     4   5.7168
       48     0.00000     8.240    12.000     3   5.7443
       49     0.00000    18.012    12.000     3   5.7443
       50     0.00000    16.752    12.000     3   5.7443
       51     0.00000     5.120    24.000     4   5.7593
       52     0.00000     4.848    24.000     4   5.7593
       53     0.00000     6.292    24.000     3   5.7652
       54     0.00000     6.403    12.000     4   5.7846
       55     0.00000     7.145     6.000     4   5.7846
       56     0.00000     6.552     6.000     4   5.7846
       62     0.00000    10.549     6.000     2   5.9318
       63     0.00000    10.506     6.000     2   5.9406
