PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      150     0.00000     4.900    16.000     4   5.8205
      151     0.00000     4.651    32.000     3   5.8236
      152     0.00000     8.634    32.000     4   5.8236
      153     0.00000     5.988    32.000     4   5.8236
      154     0.00000     4.642    16.000     4   5.8236
      155     0.00000     7.479    16.000     4   5.8236
      156     0.00000     3.218    16.000     4   5.8236
      157     0.00000     5.337    16.000     4   5.8236
      158     0.00000    11.174    32.000     4   5.8236
      159     0.00000     9.793    32.000     4   5.8236
      160     0.00000     6.317    32.000     4   5.8236
      161     0.00000     4.717    16.000     4   5.8236
      162     0.00000     7.008    32.000     4   5.9235
      163     0.00000     8.869    32.000     4   5.9235
      164     0.00000     4.262    32.000     4   5.9235
      165     0.00000     4.466    32.000     4   5.9235
      166     0.00000    10.131    32.000     4   5.9235
      167     0.00000     5.204    32.000     4   5.9235
      168     0.00000     5.649    32.000     4   5.9235
      169     0.00000     5.049    32.000     4   5.9235
      170     0.00000     4.230    32.000     4   5.9235
      172     0.00000     7.016    32.000     4   5.9262
      173     0.00000     7.024    32.000     4   5.9262
      174     0.00000     8.895    32.000     4   5.9262
      175     0.00000     8.883    32.000     4   5.9262
      176     0.00000     4.266    32.000     4   5.9262
      177     0.00000     4.264    32.000     4   5.9262
      178     0.00000     4.474    32.000     4   5.9262
      179     0.00000     4.471    32.000     4   5.9262
      180     0.00000    10.124    32.000     4   5.9262
      181     0.00000    10.125    32.000     4   5.9262
      182     0.00000     5.210    32.000     4   5.9262
      183     0.00000     5.212    32.000     4   5.9262
      184     0.00000     5.630    32.000     4   5.9262
      185     0.00000     5.642    32.000     4   5.9262
      186     0.00000     5.049    32.000     4   5.9262
      187     0.00000     5.050    32.000     4   5.9262
      188     0.00000     4.230    32.000     4   5.9262
      189     0.00000     4.231    32.000     4   5.9262
