 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
    171     2.528    32.000     4   5.9235 neglected
    172     7.016    32.000     4   5.9262
    173     7.024    32.000     4   5.9262
    174     8.895    32.000     4   5.9262
    175     8.883    32.000     4   5.9262
    176     4.266    32.000     4   5.9262
    177     4.264    32.000     4   5.9262
    178     4.474    32.000     4   5.9262
    179     4.471    32.000     4   5.9262
    180    10.124    32.000     4   5.9262
    181    10.125    32.000     4   5.9262
    182     5.210    32.000     4   5.9262
    183     5.212    32.000     4   5.9262
    184     5.630    32.000     4   5.9262
    185     5.642    32.000     4   5.9262
    186     5.049    32.000     4   5.9262
    187     5.050    32.000     4   5.9262
    188     4.230    32.000     4   5.9262
    189     4.231    32.000     4   5.9262
    190     2.545    32.000     4   5.9262 neglected
    191     2.536    32.000     4   5.9262 neglected
  174 paths kept,  191 examined.
 Done with module 5: F_eff.
