PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      148     0.00000     7.090     2.000     3   5.5773
      149     0.00000     5.473     4.000     4   5.5774
      150     0.00000     4.429     1.000     4   5.5773
      151     0.00000     3.578     1.000     2   5.5778
      152     0.00000     3.166     2.000     3   5.5777
      153     0.00000     7.087     2.000     3   5.5778
      154     0.00000     2.735     2.000     4   5.5777
      155     0.00000     4.427     1.000     4   5.5778
      156     0.00000     3.577     1.000     2   5.5780
      157     0.00000     3.165     2.000     3   5.5781
      158     0.00000     7.085     2.000     3   5.5780
      159     0.00000     2.734     2.000     4   5.5781
      160     0.00000     4.425     1.000     4   5.5780
      161     0.00000     3.862     4.000     3   5.7260
      162     0.00000     3.846     4.000     3   5.7257
      163     0.00000     3.851     4.000     3   5.7263
      165     0.00000    27.138     8.000     2   5.9701
      166     0.00000    13.558     4.000     2   5.9718
