 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     4.000     2   2.0131
      2    13.692    12.000     3   3.6569
      3    77.841    12.000     2   3.7280
      4    64.275    12.000     2   3.8194
      5    37.056    24.000     3   3.9058
      6     5.119     4.000     4   4.0263
      7     4.785    12.000     4   4.0263
      8    11.184    12.000     4   4.0836
      9    24.842    48.000     3   4.5283
     10    23.428     6.000     2   4.5486
     11     3.740    24.000     3   4.9106
     12    32.516    12.000     2   4.9279
     13    13.774    48.000     3   4.9619
     14    40.472    24.000     3   5.0431
     15     9.530    24.000     3   5.0513
     16     6.874    24.000     3   5.0643
     17    16.498    12.000     4   5.1583
     18     6.432    24.000     3   5.1629
     19     3.129    24.000     4   5.2373
     20     7.809    48.000     4   5.2421
     21     5.452    24.000     3   5.2737
     22     4.512    24.000     3   5.2895
     23     8.613    12.000     4   5.3006
     24    13.678    48.000     3   5.3632
     25    14.334    48.000     3   5.3921
     26     9.663    48.000     4   5.4784
     27    11.550    48.000     4   5.5410
     28     7.161    48.000     4   5.5495
     29     2.240    12.000     4   5.5540 neglected
     30     4.536    48.000     4   5.5699
     31     8.969     4.000     2   5.5758
     32    19.984     8.000     3   5.5758
     33    11.107     4.000     4   5.5758
     34     9.492    48.000     5   5.6562
     35     5.278    24.000     5   5.6700
     36    20.455    24.000     3   5.7244
     37     4.116    48.000     3   5.7275
     38     3.595    48.000     5   5.7273
     39    21.330    12.000     2   5.7279
     40     3.472    48.000     4   5.7411
     41     4.654    24.000     4   5.7411
     42     1.877    12.000     4   5.7984 neglected
     43     8.320    24.000     4   5.8325
     44     7.207    48.000     4   5.8325
     45     6.981    24.000     3   5.9162
     46     2.159    24.000     5   5.9189 neglected
     47     2.137    24.000     5   5.9189 neglected
     48     1.920    24.000     5   5.9762 neglected
     49     1.367    48.000     5   5.9762 neglected
     50     7.029    48.000     3   5.9857
     51     3.395    24.000     3   5.9882
     52     3.708    24.000     4   5.9882
   46 paths kept,   52 examined.
 Done with module 5: F_eff.
