# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 S8
# Reduced formula:  FeS2
# space group: (Pa-3), space number:  (205)
# abc:  5.396824   5.396824   5.396824
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-226
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
# Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
# Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
# Gam_ch=1.309E+00 H-L exch
# Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.2563
#           2       0.00000     35.28      6.00     2   3.4304
#           3       0.00000     10.40      2.00     2   3.6024
#           4       0.00000      7.57     12.00     3   3.7907
#           5       0.00000     56.40     12.00     2   3.8161
#           6       0.00000      7.08     12.00     3   3.9107
#           7       0.00000     17.10     12.00     3   3.9148
#           8       0.00000     32.72     24.00     3   4.1644
#           9       0.00000      4.05     12.00     3   4.3777
#          10       0.00000     18.20      6.00     2   4.4333
#          11       0.00000      4.57     12.00     3   4.4637
#          12       0.00000     10.89      6.00     3   4.5126
#          13       0.00000     12.30      6.00     4   4.5126
#          14       0.00000      4.48      6.00     4   4.5126
#          15       0.00000     11.45     12.00     4   4.5126
#          16       0.00000      4.81     24.00     3   4.7514
#          17       0.00000      9.03     24.00     3   4.7514
#          18       0.00000      4.21     12.00     3   4.8374
#          19       0.00000      9.09     12.00     3   4.8791
#          20       0.00000      6.52     12.00     3   4.9991
#          21       0.00000     12.19      6.00     2   5.1313
#          22       0.00000     22.90     12.00     2   5.2478
#          23       0.00000      6.64     24.00     3   5.2529
#          24       0.00000     30.83     12.00     3   5.2864
#          26       0.00000     21.46      6.00     4   5.3250
#          27       0.00000      9.77     12.00     3   5.3482
#          28       0.00000     11.59      6.00     2   5.3968
#          29       0.00000     11.49     12.00     3   5.4064
#          30       0.00000      5.83     12.00     3   5.5418
#          31       0.00000     11.14     12.00     3   5.5418
#          32       0.00000     12.22     12.00     3   5.5418
#          35       0.00000      4.11     24.00     3   5.6601
#          39       0.00000     12.52     12.00     4   5.6867
#          41       0.00000     10.39      4.00     3   5.7452
#          42       0.00000     10.09      2.00     4   5.7452
#          43       0.00000     16.79     12.00     2   5.8495
#          44       0.00000      8.23     24.00     3   5.9610
#          45       0.00000      8.55     24.00     3   5.9610
#    38/  44 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     2.9000   -7.806130E-02  1.571246E-01  9.944699E+00
     2.9500   -9.383874E-02  1.594149E-01  1.005416E+01
     3.0000   -1.108400E-01  1.626768E-01  1.017438E+01
     3.0500   -1.275146E-01  1.657617E-01  1.030247E+01
     3.1000   -1.437131E-01  1.690532E-01  1.044096E+01
     3.1500   -1.581223E-01  1.721438E-01  1.058917E+01
     3.2000   -1.692570E-01  1.746692E-01  1.074599E+01
     3.2500   -1.757111E-01  1.763824E-01  1.090830E+01
     3.3000   -1.764869E-01  1.770660E-01  1.107648E+01
     3.3500   -1.708863E-01  1.765265E-01  1.124904E+01
     3.4000   -1.588182E-01  1.746316E-01  1.142442E+01
     3.4500   -1.409632E-01  1.713446E-01  1.160025E+01
     3.5000   -1.185083E-01  1.666819E-01  1.177547E+01
     3.5500   -9.317435E-02  1.607278E-01  1.194801E+01
     3.6000   -6.695789E-02  1.536533E-01  1.211547E+01
     3.6500   -4.227507E-02  1.460621E-01  1.227274E+01
     3.7000   -2.021407E-02  1.380404E-01  1.241941E+01
     3.7500   -1.796923E-03  1.300693E-01  1.255256E+01
     3.8000    1.267463E-02  1.227336E-01  1.266982E+01
     3.8500    2.355405E-02  1.171102E-01  1.276888E+01
     3.9000    3.220724E-02  1.134339E-01  1.285426E+01
     3.9500    4.011823E-02  1.121840E-01  1.293208E+01
     4.0000    4.884821E-02  1.135406E-01  1.301111E+01
     4.0500    6.014975E-02  1.179945E-01  1.310128E+01
     4.1000    7.450022E-02  1.244137E-01  1.320839E+01
     4.1500    9.182260E-02  1.321486E-01  1.333457E+01
     4.2000    1.111811E-01  1.405286E-01  1.347908E+01
     4.2500    1.315428E-01  1.494235E-01  1.364294E+01
     4.3000    1.499589E-01  1.578335E-01  1.381995E+01
     4.3500    1.639692E-01  1.653642E-01  1.400719E+01
     4.4000    1.713683E-01  1.717293E-01  1.420202E+01
     4.4500    1.706310E-01  1.769671E-01  1.440557E+01
     4.5000    1.606908E-01  1.807229E-01  1.461247E+01
     4.5500    1.418309E-01  1.829826E-01  1.482108E+01
     4.6000    1.152836E-01  1.838082E-01  1.503002E+01
     4.6500    8.247782E-02  1.835884E-01  1.524203E+01
     4.7000    4.610185E-02  1.822138E-01  1.545217E+01
     4.7500    8.672390E-03  1.799079E-01  1.565974E+01
     4.8000   -2.755011E-02  1.769206E-01  1.586432E+01
     4.8500   -6.131358E-02  1.734392E-01  1.606929E+01
     4.9000   -9.064568E-02  1.697491E-01  1.627129E+01
     4.9500   -1.147594E-01  1.660489E-01  1.647100E+01
     5.0000   -1.332389E-01  1.624753E-01  1.666947E+01
     5.0500   -1.459517E-01  1.590410E-01  1.687021E+01
     5.1000   -1.524615E-01  1.557802E-01  1.707198E+01
     5.1500   -1.526103E-01  1.526109E-01  1.727617E+01
     5.2000   -1.462521E-01  1.493876E-01  1.748400E+01
     5.2500   -1.331334E-01  1.457801E-01  1.769837E+01
     5.3000   -1.138262E-01  1.417625E-01  1.791735E+01
     5.3500   -8.922670E-02  1.371473E-01  1.814119E+01
     5.4000   -6.081877E-02  1.317700E-01  1.836981E+01
     5.4500   -3.054250E-02  1.253993E-01  1.860352E+01
     5.5000   -1.075818E-03  1.181000E-01  1.884045E+01
     5.5500    2.505952E-02  1.098539E-01  1.907970E+01
     5.6000    4.565351E-02  1.006954E-01  1.932011E+01
     5.6500    5.907224E-02  9.071397E-02  1.955871E+01
     5.7000    6.485168E-02  8.006761E-02  1.979364E+01
     5.7500    6.352388E-02  6.893958E-02  2.002133E+01
     5.8000    5.658334E-02  5.755897E-02  2.023597E+01
     5.8500    4.628636E-02  4.628655E-02  2.042324E+01
     5.9000    3.515841E-02  3.551996E-02  2.056315E+01
     5.9500    2.550412E-02  2.596569E-02  2.060919E+01
     6.0000    1.904797E-02  1.907769E-02  2.047618E+01
     6.0500    1.707397E-02  1.766492E-02  2.016096E+01
     6.1000    1.923119E-02  2.150104E-02  1.995671E+01
     6.1500    2.462038E-02  2.760508E-02  1.995104E+01
     6.2000    3.179899E-02  3.401150E-02  2.005767E+01
     6.2500    3.912915E-02  3.994578E-02  2.021780E+01
     6.3000    4.511701E-02  4.512349E-02  2.040340E+01
     6.3500    4.866857E-02  4.946941E-02  2.060053E+01
     6.4000    4.921418E-02  5.302153E-02  2.080162E+01
     6.4500    4.669157E-02  5.589208E-02  2.100231E+01
     6.5000    4.141387E-02  5.824464E-02  2.120018E+01
     6.5500    3.368558E-02  6.057052E-02  2.140142E+01
     6.6000    2.394878E-02  6.272501E-02  2.159940E+01
     6.6500    1.262546E-02  6.487355E-02  2.179528E+01
     6.7000    1.574077E-05  6.714514E-02  2.199091E+01
     6.7500   -1.364972E-02  6.961517E-02  2.218850E+01
     6.8000   -2.809154E-02  7.229674E-02  2.239022E+01
     6.8500   -4.284368E-02  7.514231E-02  2.259786E+01
     6.9000   -5.714923E-02  7.805424E-02  2.281266E+01
     6.9500   -6.993524E-02  8.090054E-02  2.303522E+01
     7.0000   -7.989155E-02  8.353169E-02  2.326564E+01
     7.0500   -8.565087E-02  8.578821E-02  2.350535E+01
     7.1000   -8.604343E-02  8.761749E-02  2.375178E+01
     7.1500   -8.030116E-02  8.886793E-02  2.400464E+01
