# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 S8
# Reduced formula:  FeS2
# space group: (Pa-3), space number:  (205)
# abc:  5.396824   5.396824   5.396824
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-226
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
# Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
# Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
# Gam_ch=1.309E+00 H-L exch
# Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.2563
#           2       0.00000     35.28      6.00     2   3.4304
#           3       0.00000     10.40      2.00     2   3.6024
#           4       0.00000      7.57     12.00     3   3.7907
#           5       0.00000     56.40     12.00     2   3.8161
#           6       0.00000      7.08     12.00     3   3.9107
#           7       0.00000     17.10     12.00     3   3.9148
#           8       0.00000     32.72     24.00     3   4.1644
#           9       0.00000      4.05     12.00     3   4.3777
#          10       0.00000     18.20      6.00     2   4.4333
#          11       0.00000      4.57     12.00     3   4.4637
#          12       0.00000     10.89      6.00     3   4.5126
#          13       0.00000     12.30      6.00     4   4.5126
#          14       0.00000      4.48      6.00     4   4.5126
#          15       0.00000     11.45     12.00     4   4.5126
#          16       0.00000      4.81     24.00     3   4.7514
#          17       0.00000      9.03     24.00     3   4.7514
#          18       0.00000      4.21     12.00     3   4.8374
#          19       0.00000      9.09     12.00     3   4.8791
#          20       0.00000      6.52     12.00     3   4.9991
#          21       0.00000     12.19      6.00     2   5.1313
#          22       0.00000     22.90     12.00     2   5.2478
#          23       0.00000      6.64     24.00     3   5.2529
#          24       0.00000     30.83     12.00     3   5.2864
#          26       0.00000     21.46      6.00     4   5.3250
#          27       0.00000      9.77     12.00     3   5.3482
#          28       0.00000     11.59      6.00     2   5.3968
#          29       0.00000     11.49     12.00     3   5.4064
#          30       0.00000      5.83     12.00     3   5.5418
#          31       0.00000     11.14     12.00     3   5.5418
#          32       0.00000     12.22     12.00     3   5.5418
#          35       0.00000      4.11     24.00     3   5.6601
#          39       0.00000     12.52     12.00     4   5.6867
#          41       0.00000     10.39      4.00     3   5.7452
#          42       0.00000     10.09      2.00     4   5.7452
#          43       0.00000     16.79     12.00     2   5.8495
#          44       0.00000      8.23     24.00     3   5.9610
#          45       0.00000      8.55     24.00     3   5.9610
#    38/  44 paths used
#  xsedge+50, used to normalize mu           3.1669E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7135.261     18.542   2.250  1.23446E+00  9.85429E-01  2.48573E-01
    7136.128     19.408   2.300  1.19247E+00  9.82631E-01  2.10300E-01
    7137.014     20.294   2.350  1.15040E+00  9.79834E-01  1.71633E-01
    7137.918     21.199   2.400  1.10912E+00  9.77036E-01  1.33445E-01
    7138.842     22.123   2.450  1.07179E+00  9.77250E-01  9.57254E-02
    7139.785     23.066   2.500  1.03802E+00  9.77464E-01  6.14535E-02
    7140.747     24.028   2.550  1.00671E+00  9.77678E-01  2.95323E-02
    7141.728     25.009   2.600  9.79722E-01  9.77893E-01  1.86519E-03
    7142.729     26.009   2.650  9.65328E-01  9.80531E-01 -1.54805E-02
    7143.748     27.028   2.700  9.54908E-01  9.83169E-01 -2.87435E-02
    7144.786     28.067   2.750  9.46685E-01  9.85808E-01 -3.97428E-02
    7145.843     29.124   2.800  9.38775E-01  9.88446E-01 -5.03993E-02
    7146.919     30.200   2.850  9.26620E-01  9.89420E-01 -6.36837E-02
    7148.015     31.296   2.900  9.13370E-01  9.90394E-01 -7.80613E-02
    7149.129     32.410   2.950  8.98722E-01  9.91369E-01 -9.38387E-02
    7150.263     33.543   3.000  8.82847E-01  9.92343E-01 -1.10840E-01
    7151.415     34.696   3.050  8.66469E-01  9.92531E-01 -1.27515E-01
    7152.587     35.868   3.100  8.50537E-01  9.92720E-01 -1.43713E-01
    7153.777     37.058   3.150  8.36354E-01  9.92908E-01 -1.58122E-01
    7154.987     38.268   3.200  8.25393E-01  9.93097E-01 -1.69257E-01
    7156.216     39.497   3.250  8.19199E-01  9.93478E-01 -1.75711E-01
    7157.464     40.744   3.300  8.18629E-01  9.93858E-01 -1.76487E-01
    7158.730     42.011   3.350  8.24395E-01  9.94239E-01 -1.70886E-01
    7160.016     43.297   3.400  8.36608E-01  9.94620E-01 -1.58818E-01
    7161.321     44.602   3.450  8.54338E-01  9.94748E-01 -1.40963E-01
    7162.645     45.926   3.500  8.76696E-01  9.94876E-01 -1.18508E-01
    7163.988     47.269   3.550  9.01981E-01  9.95004E-01 -9.31744E-02
    7165.350     48.631   3.600  9.28205E-01  9.95132E-01 -6.69579E-02
    7166.731     50.012   3.650  9.53223E-01  9.95524E-01 -4.22751E-02
    7168.132     51.412   3.700  9.75668E-01  9.95916E-01 -2.02141E-02
    7169.551     52.832   3.750  9.94506E-01  9.96308E-01 -1.79692E-03
    7170.989     54.270   3.800  1.00942E+00  9.96700E-01  1.26746E-02
    7172.446     55.727   3.850  1.02075E+00  9.97072E-01  2.35540E-02
    7173.923     57.203   3.900  1.02986E+00  9.97445E-01  3.22072E-02
    7175.418     58.699   3.950  1.03825E+00  9.97817E-01  4.01182E-02
    7176.933     60.213   4.000  1.04748E+00  9.98190E-01  4.88482E-02
    7178.466     61.747   4.050  1.05958E+00  9.98804E-01  6.01498E-02
    7180.019     63.299   4.100  1.07479E+00  9.99419E-01  7.45002E-02
    7181.590     64.871   4.150  1.09306E+00  1.00003E+00  9.18226E-02
    7183.181     66.462   4.200  1.11343E+00  1.00065E+00  1.11181E-01
    7184.791     68.071   4.250  1.13497E+00  1.00137E+00  1.31543E-01
    7186.419     69.700   4.300  1.15458E+00  1.00208E+00  1.49959E-01
    7188.067     71.348   4.350  1.16975E+00  1.00280E+00  1.63969E-01
    7189.734     73.015   4.400  1.17821E+00  1.00352E+00  1.71368E-01
    7191.420     74.701   4.450  1.17830E+00  1.00417E+00  1.70631E-01
    7193.125     76.406   4.500  1.16897E+00  1.00482E+00  1.60691E-01
    7194.849     78.130   4.550  1.15051E+00  1.00547E+00  1.41831E-01
    7196.592     79.873   4.600  1.12414E+00  1.00612E+00  1.15284E-01
    7198.354     81.635   4.650  1.09108E+00  1.00659E+00  8.24778E-02
    7200.135     83.416   4.700  1.05432E+00  1.00706E+00  4.61019E-02
    7201.936     85.216   4.750  1.01642E+00  1.00752E+00  8.67239E-03
    7203.755     87.036   4.800  9.79704E-01  1.00799E+00 -2.75501E-02
    7205.593     88.874   4.850  9.45308E-01  1.00828E+00 -6.13136E-02
    7207.451     90.731   4.900  9.15440E-01  1.00857E+00 -9.06457E-02
    7209.327     92.608   4.950  8.90916E-01  1.00886E+00 -1.14759E-01
    7211.222     94.503   5.000  8.72168E-01  1.00914E+00 -1.33239E-01
    7213.137     96.418   5.050  8.59169E-01  1.00919E+00 -1.45952E-01
    7215.071     98.351   5.100  8.52550E-01  1.00923E+00 -1.52462E-01
    7217.023    100.304   5.150  8.52469E-01  1.00927E+00 -1.52610E-01
    7218.995    102.276   5.200  8.59072E-01  1.00931E+00 -1.46252E-01
    7220.986    104.266   5.250  8.72178E-01  1.00886E+00 -1.33133E-01
    7222.995    106.276   5.300  8.91617E-01  1.00841E+00 -1.13826E-01
    7225.024    108.305   5.350  9.16460E-01  1.00795E+00 -8.92267E-02
    7227.072    110.353   5.400  9.45174E-01  1.00750E+00 -6.08188E-02
    7229.139    112.420   5.450  9.75492E-01  1.00676E+00 -3.05425E-02
    7231.225    114.506   5.500  1.00492E+00  1.00602E+00 -1.07582E-03
    7233.330    116.611   5.550  1.03088E+00  1.00528E+00  2.50595E-02
    7235.454    118.735   5.600  1.05113E+00  1.00454E+00  4.56535E-02
    7237.597    120.878   5.650  1.06373E+00  1.00352E+00  5.90722E-02
    7239.759    123.040   5.700  1.06851E+00  1.00251E+00  6.48517E-02
    7241.940    125.221   5.750  1.06606E+00  1.00150E+00  6.35239E-02
    7244.141    127.421   5.800  1.05791E+00  1.00048E+00  5.65833E-02
    7246.360    129.641   5.850  1.04606E+00  9.99154E-01  4.62864E-02
