PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     4.000     2   2.4778
        2     0.00000    99.719     4.000     2   2.4811
        3     0.00000    36.506     2.000     2   2.8612
        4     0.00000    72.853     4.000     2   2.8640
        5     0.00000     6.148     8.000     3   3.9084
        6     0.00000     6.400    16.000     3   3.9114
        7     0.00000    12.232    16.000     3   3.9114
        8     0.00000    12.296    16.000     3   3.9114
        9     0.00000     6.119     8.000     3   3.9117
       10     0.00000    16.154     2.000     2   4.0462
       11     0.00000    64.534     8.000     2   4.0483
       12     0.00000    16.075     2.000     2   4.0543
       13     0.00000     6.765     8.000     3   4.5009
       14     0.00000     9.342    16.000     3   4.5036
       15     0.00000    13.495    16.000     3   4.5036
       16     0.00000    13.496    16.000     3   4.5036
       17     0.00000     6.726     8.000     3   4.5083
       18     0.00000    21.644     4.000     2   4.7447
       19     0.00000    64.875    12.000     2   4.7463
       20     0.00000    43.129     8.000     2   4.7515
       21     0.00000     6.240    16.000     3   4.8867
       22     0.00000     6.240    16.000     3   4.8867
       23     0.00000    19.336     4.000     2   4.9556
       24     0.00000     9.282     4.000     3   4.9556
       25     0.00000    54.350     8.000     3   4.9556
       26     0.00000    11.629     4.000     4   4.9556
       27     0.00000     4.521     4.000     4   4.9556
       28     0.00000    45.110     4.000     4   4.9556
       29     0.00000    19.269     4.000     2   4.9622
       30     0.00000     9.238     4.000     3   4.9622
       31     0.00000    54.108     8.000     3   4.9622
       32     0.00000    11.561     4.000     4   4.9622
       33     0.00000     4.493     4.000     4   4.9622
       34     0.00000    44.864     4.000     4   4.9622
       35     0.00000     5.163     8.000     3   5.0418
       36     0.00000     6.911     8.000     3   5.0419
       37     0.00000     7.125     8.000     3   5.0418
       38     0.00000    10.293    16.000     3   5.0441
       39     0.00000     5.142     8.000     3   5.0444
       40     0.00000    13.774    16.000     3   5.0441
       41     0.00000     6.881     8.000     3   5.0444
       42     0.00000     7.091     8.000     3   5.0444
       43     0.00000    14.202    16.000     3   5.0441
       44     0.00000    10.302    16.000     3   5.0483
       45     0.00000    13.784    16.000     3   5.0483
       46     0.00000    14.212    16.000     3   5.0483
       47     0.00000     2.771    16.000     4   5.3418
       48     0.00000     3.244    16.000     4   5.3418
       49     0.00000     2.773    16.000     4   5.3451
       50     0.00000     3.237    16.000     4   5.3451
       51     0.00000     9.255    32.000     3   5.6363
       52     0.00000     6.586     2.000     2   5.7224
       53     0.00000     2.769     2.000     3   5.7224
       54     0.00000    16.583     4.000     3   5.7224
       55     0.00000     3.038     2.000     4   5.7224
       56     0.00000    12.298     2.000     4   5.7224
       57     0.00000    13.137     4.000     2   5.7279
       58     0.00000     5.519     4.000     3   5.7279
       59     0.00000    33.053     8.000     3   5.7279
       60     0.00000     6.049     4.000     4   5.7279
       62     0.00000    24.494     4.000     4   5.7279
       63     0.00000     4.055    16.000     4   5.9339
       64     0.00000     4.054    16.000     4   5.9372
