 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Ni2
 Reduced formula:  Ni
 space group: (P6_3/mmc), space number:  (194)
 abc:  2.448023   2.448023   4.072808
 angles: 90.000000  90.000000 120.000002
 sites: 2
 mp-10257
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.311 Rnm= 1.347 K  shell
 Pot 1 Z=28 Rmt= 1.318 Rnm= 1.355
 Gam_ch=1.576E+00 H-L exch
 Mu=-1.189E+01 kf=2.095E+00 Vint=-2.862E+01 Rs_int= 1.731
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   35      icalc       2
 -----------------------------------------------------------------------
   2  12.000   5.4878    2.5611  -11.89028 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -4.8960    1.4134   -2.0364  1  28 Ni
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.1758E+00  1.1474E-04 -5.0517E+00  1.005E+00  2.0269E+01  2.0960E+00
  0.100  3.1755E+00  3.8949E-02 -6.1217E+00  1.005E+00  2.0291E+01  2.0982E+00
  0.200  3.1748E+00  7.7245E-02 -7.1464E+00  1.005E+00  2.0355E+01  2.1051E+00
  0.300  3.1735E+00  1.1428E-01 -8.1232E+00  1.006E+00  2.0455E+01  2.1164E+00
  0.400  3.1716E+00  1.4954E-01 -9.0527E+00  1.006E+00  2.0583E+01  2.1322E+00
  0.500  3.1692E+00  1.8260E-01 -9.9361E+00  1.006E+00  2.0727E+01  2.1523E+00
  0.600  3.1660E+00  2.1317E-01 -1.0774E+01  1.007E+00  2.0870E+01  2.1767E+00
  0.700  3.1620E+00  2.4106E-01 -1.1569E+01  1.007E+00  2.0996E+01  2.2052E+00
  0.800  3.1571E+00  2.6619E-01 -1.2322E+01  1.008E+00  2.1085E+01  2.2377E+00
  0.900  3.1511E+00  2.8853E-01 -1.3033E+01  1.009E+00  2.1121E+01  2.2740E+00
  1.000  3.1440E+00  3.0811E-01 -1.3705E+01  1.010E+00  2.1085E+01  2.3141E+00
  1.100  3.1355E+00  3.2498E-01 -1.4339E+01  1.011E+00  2.0965E+01  2.3578E+00
  1.200  3.1255E+00  3.3919E-01 -1.4935E+01  1.013E+00  2.0753E+01  2.4049E+00
  1.300  3.1138E+00  3.5083E-01 -1.5495E+01  1.015E+00  2.0446E+01  2.4555E+00
  1.400  3.1000E+00  3.5991E-01 -1.6019E+01  1.017E+00  2.0048E+01  2.5093E+00
  1.500  3.0840E+00  3.6648E-01 -1.6508E+01  1.020E+00  1.9570E+01  2.5664E+00
  1.600  3.0654E+00  3.7055E-01 -1.6962E+01  1.023E+00  1.9028E+01  2.6266E+00
  1.700  3.0440E+00  3.7213E-01 -1.7381E+01  1.026E+00  1.8441E+01  2.6900E+00
  1.800  3.0193E+00  3.7118E-01 -1.7765E+01  1.030E+00  1.7831E+01  2.7565E+00
  1.900  2.9910E+00  3.6771E-01 -1.8112E+01  1.034E+00  1.7220E+01  2.8262E+00
  2.000  2.9587E+00  3.6168E-01 -1.8421E+01  1.039E+00  1.6632E+01  2.8991E+00
  2.200  2.8799E+00  3.4208E-01 -1.8918E+01  1.048E+00  1.5612E+01  3.0550E+00
  2.400  2.7689E+00  3.0685E-01 -1.9167E+01  1.053E+00  1.4931E+01  3.2308E+00
  2.600  2.6311E+00  2.7795E-01 -1.9363E+01  1.159E+00  8.9544E+00  3.4196E+00
  2.800  2.6118E+00  2.6871E-01 -1.9950E+01  1.227E+00  6.9668E+00  3.5592E+00
  3.000  2.6008E+00  2.5674E-01 -2.0514E+01  1.253E+00  6.2235E+00  3.6924E+00
  3.200  2.5616E+00  2.4672E-01 -2.0907E+01  1.261E+00  5.8650E+00  3.8363E+00
  3.400  2.5077E+00  2.5236E-01 -2.1190E+01  1.256E+00  5.7044E+00  3.9860E+00
  3.600  2.4442E+00  2.7589E-01 -2.1418E+01  1.247E+00  5.6578E+00  4.1409E+00
  3.800  2.3723E+00  3.1669E-01 -2.1635E+01  1.232E+00  5.6850E+00  4.3005E+00
  4.000  2.2945E+00  3.6928E-01 -2.1858E+01  1.218E+00  5.7642E+00  4.4642E+00
  4.200  2.2130E+00  4.2676E-01 -2.2082E+01  1.199E+00  5.8822E+00  4.6316E+00
  4.400  2.1278E+00  4.8498E-01 -2.2303E+01  1.182E+00  6.0308E+00  4.8024E+00
  4.600  2.0405E+00  5.4191E-01 -2.2518E+01  1.166E+00  6.2042E+00  4.9760E+00
  4.800  1.9527E+00  5.9331E-01 -2.2719E+01  1.150E+00  6.3984E+00  5.1522E+00
  5.000  1.8640E+00  6.4066E-01 -2.2909E+01  1.135E+00  6.6106E+00  5.3307E+00
  5.200  1.7752E+00  6.8324E-01 -2.3089E+01  1.120E+00  6.8384E+00  5.5112E+00
  5.400  1.6864E+00  7.1954E-01 -2.3255E+01  1.107E+00  7.0803E+00  5.6935E+00
  5.600  1.5975E+00  7.5097E-01 -2.3411E+01  1.094E+00  7.3348E+00  5.8774E+00
  5.800  1.5092E+00  7.7693E-01 -2.3557E+01  1.081E+00  7.6009E+00  6.0627E+00
  6.000  1.4211E+00  7.9748E-01 -2.3692E+01  1.071E+00  7.8776E+00  6.2492E+00
  6.500  1.2034E+00  8.2411E-01 -2.3995E+01  1.046E+00  8.6119E+00  6.7202E+00
  7.000  9.9104E-01  8.2008E-01 -2.4258E+01  1.027E+00  9.4001E+00  7.1965E+00
  7.500  7.8634E-01  7.9422E-01 -2.4491E+01  1.012E+00  1.0236E+01  7.6769E+00
  8.000  5.9054E-01  7.5514E-01 -2.4702E+01  9.999E-01  1.1117E+01  8.1606E+00
  8.500  4.0374E-01  7.0661E-01 -2.4894E+01  9.890E-01  1.2037E+01  8.6467E+00
