 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Pt2
 Reduced formula:  Pt
 space group: (P6_3/mmc), space number:  (194)
 abc:  2.760666   2.760665   4.792134
 angles: 90.000000  90.000000 120.000009
 sites: 2
 mp-2647022
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.481 Rnm= 1.520 L3 shell
 Pot 1 Z=78 Rmt= 1.495 Rnm= 1.537
 Gam_ch=5.171E+00 H-L exch
 Mu=-1.529E-01 kf=1.999E+00 Vint=-1.538E+01 Rs_int= 1.814
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    8      icalc       2
 -----------------------------------------------------------------------
   2   2.000   4.7921    2.9035   -0.15286 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000   -0.0000   -4.7921  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  2.400  1.0981E+01  4.9183E-01 -2.0358E+01  1.060E+00  6.9384E+00  3.1948E+00
  2.600  1.0903E+01  5.2358E-01 -2.0610E+01  1.192E+00  4.9172E+00  3.3608E+00
  2.800  1.0902E+01  5.2462E-01 -2.1024E+01  1.224E+00  4.4823E+00  3.4922E+00
  3.000  1.0889E+01  5.2570E-01 -2.1336E+01  1.244E+00  4.2747E+00  3.6316E+00
  3.200  1.0865E+01  5.2544E-01 -2.1584E+01  1.248E+00  4.1966E+00  3.7784E+00
  3.400  1.0834E+01  5.2287E-01 -2.1804E+01  1.246E+00  4.1926E+00  3.9309E+00
  3.600  1.0796E+01  5.1538E-01 -2.2016E+01  1.240E+00  4.2369E+00  4.0884E+00
  3.800  1.0750E+01  4.9245E-01 -2.2220E+01  1.229E+00  4.3157E+00  4.2505E+00
  4.000  1.0698E+01  4.6125E-01 -2.2425E+01  1.218E+00  4.4204E+00  4.4166E+00
  4.200  1.0639E+01  4.1493E-01 -2.2627E+01  1.204E+00  4.5455E+00  4.5863E+00
  4.400  1.0574E+01  3.6309E-01 -2.2829E+01  1.190E+00  4.6874E+00  4.7591E+00
  4.600  1.0503E+01  3.0582E-01 -2.3042E+01  1.176E+00  4.8433E+00  4.9347E+00
  4.800  1.0429E+01  2.4790E-01 -2.3281E+01  1.162E+00  5.0112E+00  5.1128E+00
  5.000  1.0352E+01  1.9150E-01 -2.3573E+01  1.148E+00  5.1897E+00  5.2930E+00
  5.200  1.0272E+01  1.4701E-01 -2.3988E+01  1.136E+00  5.3775E+00  5.4751E+00
  5.400  1.0192E+01  1.2327E-01 -2.4575E+01  1.123E+00  5.5736E+00  5.6589E+00
  5.600  1.0110E+01  1.3533E-01 -2.5181E+01  1.111E+00  5.7773E+00  5.8442E+00
  5.800  1.0029E+01  1.7256E-01 -2.5607E+01  1.099E+00  5.9879E+00  6.0308E+00
  6.000  9.9474E+00  2.1935E-01 -2.5877E+01  1.089E+00  6.2050E+00  6.2186E+00
  6.500  9.7434E+00  3.2782E-01 -2.6237E+01  1.062E+00  6.7726E+00  6.6924E+00
  7.000  9.5376E+00  3.9660E-01 -2.6425E+01  1.036E+00  7.3719E+00  7.1711E+00
  7.500  9.3296E+00  4.2678E-01 -2.6541E+01  1.013E+00  7.9989E+00  7.6535E+00
  8.000  9.1220E+00  4.2837E-01 -2.6612E+01  9.932E-01  8.6505E+00  8.1389E+00
  8.500  8.9179E+00  4.1118E-01 -2.6634E+01  9.785E-01  9.3244E+00  8.6265E+00
  9.000  8.7182E+00  3.8478E-01 -2.6605E+01  9.667E-01  1.0019E+01  9.1160E+00
  9.500  8.5229E+00  3.5954E-01 -2.6527E+01  9.568E-01  1.0732E+01  9.6069E+00
 10.000  8.3325E+00  3.4380E-01 -2.6418E+01  9.487E-01  1.1463E+01  1.0099E+01
 11.000  7.9692E+00  3.5304E-01 -2.6185E+01  9.380E-01  1.2974E+01  1.1086E+01
 12.000  7.6275E+00  4.0116E-01 -2.6042E+01  9.316E-01  1.4544E+01  1.2076E+01
 13.000  7.3058E+00  4.5407E-01 -2.6015E+01  9.274E-01  1.6167E+01  1.3068E+01
 14.000  7.0039E+00  4.9585E-01 -2.6056E+01  9.256E-01  1.7839E+01  1.4061E+01
 15.000  6.7191E+00  5.1929E-01 -2.6133E+01  9.244E-01  1.9556E+01  1.5056E+01
 16.000  6.4517E+00  5.2854E-01 -2.6231E+01  9.239E-01  2.1315E+01  1.6051E+01
 17.000  6.1986E+00  5.2481E-01 -2.6347E+01  9.225E-01  2.3112E+01  1.7047E+01
 18.000  5.9586E+00  5.1234E-01 -2.6475E+01  9.211E-01  2.4946E+01  1.8044E+01
 19.000  5.7288E+00  4.9336E-01 -2.6611E+01  9.204E-01  2.6813E+01  1.9041E+01
 20.000  5.5098E+00  4.7156E-01 -2.6753E+01  9.204E-01  2.8712E+01  2.0038E+01
