 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  P8 Pt4
 Reduced formula:  P2Pt
 space group: (Pa-3), space number:  (205)
 abc:  5.722614   5.722614   5.722614
 angles: 90.000000  90.000000  90.000000
 sites: 12
 mp-730
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.374 Rnm= 1.446 L3 shell
 Pot 1 Z=15 Rmt= 1.324 Rnm= 1.436
 Pot 2 Z=78 Rmt= 1.387 Rnm= 1.462
 Gam_ch=5.171E+00 H-L exch
 Mu= 1.703E+00 kf=2.133E+00 Vint=-1.564E+01 Rs_int= 1.700
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   6.000   2.4034    2.7305    1.70276 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.6281    0.6281   -2.2332  1  15 P
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.1498E+01  6.4717E-05 -9.2013E+00  1.061E+00  6.3054E+00  2.1394E+00
  0.100  1.1497E+01  4.9030E-02 -9.6740E+00  1.061E+00  6.3119E+00  2.1416E+00
  0.200  1.1495E+01  9.7092E-02 -1.0133E+01  1.061E+00  6.3314E+00  2.1483E+00
  0.300  1.1491E+01  1.4327E-01 -1.0577E+01  1.061E+00  6.3631E+00  2.1593E+00
  0.400  1.1485E+01  1.8672E-01 -1.1007E+01  1.061E+00  6.4063E+00  2.1747E+00
  0.500  1.1477E+01  2.2675E-01 -1.1423E+01  1.061E+00  6.4595E+00  2.1944E+00
  0.600  1.1467E+01  2.6278E-01 -1.1826E+01  1.062E+00  6.5212E+00  2.2182E+00
  0.700  1.1456E+01  2.9441E-01 -1.2217E+01  1.062E+00  6.5895E+00  2.2460E+00
  0.800  1.1443E+01  3.2106E-01 -1.2595E+01  1.062E+00  6.6623E+00  2.2778E+00
  0.900  1.1429E+01  3.4343E-01 -1.2963E+01  1.063E+00  6.7372E+00  2.3134E+00
  1.000  1.1412E+01  3.6137E-01 -1.3322E+01  1.063E+00  6.8118E+00  2.3527E+00
  1.100  1.1394E+01  3.7526E-01 -1.3673E+01  1.064E+00  6.8838E+00  2.3955E+00
  1.200  1.1375E+01  3.8584E-01 -1.4016E+01  1.064E+00  6.9510E+00  2.4418E+00
  1.300  1.1353E+01  3.9398E-01 -1.4352E+01  1.065E+00  7.0112E+00  2.4914E+00
  1.400  1.1331E+01  4.0076E-01 -1.4681E+01  1.066E+00  7.0628E+00  2.5443E+00
  1.500  1.1306E+01  4.0731E-01 -1.5003E+01  1.067E+00  7.1046E+00  2.6003E+00
  1.600  1.1280E+01  4.1470E-01 -1.5316E+01  1.068E+00  7.1361E+00  2.6596E+00
  1.700  1.1253E+01  4.2376E-01 -1.5617E+01  1.069E+00  7.1573E+00  2.7219E+00
