# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  U1 O2
# Reduced formula:  UO2
# space group: (Fm-3m), space number:  (225)
# abc:  3.856567   3.856567   3.856567
# angles: 60.000000  60.000000  60.000000
# sites: 3
# mp-1597
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
# Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
# Gam_ch=8.104E+00 H-L exch
# Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3617
#           2       0.00000      7.66     24.00     3   3.7252
#           3       0.00000      8.06     24.00     3   4.2899
#           4       0.00000     34.73     24.00     2   4.5222
#           5       0.00000      5.91      8.00     3   4.7233
#           6       0.00000     12.51      8.00     4   4.7233
#           7       0.00000      5.60      8.00     4   4.7233
#           8       0.00000     12.56     48.00     3   4.8054
#          10       0.00000      4.56     96.00     3   5.3702
#          11       0.00000     11.36     24.00     2   5.9434
#    10/  11 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     4.0500   -8.063007E-02  9.471833E-02  1.044316E+01
     4.1000   -8.677640E-02  9.192582E-02  1.065928E+01
     4.1500   -8.777413E-02  8.840816E-02  1.087574E+01
     4.2000   -8.384292E-02  8.422689E-02  1.109110E+01
     4.2500   -7.581818E-02  7.959859E-02  1.130501E+01
     4.3000   -6.470803E-02  7.450127E-02  1.151410E+01
     4.3500   -5.189822E-02  6.907903E-02  1.171636E+01
     4.4000   -3.877389E-02  6.349553E-02  1.190948E+01
     4.4500   -2.650508E-02  5.798760E-02  1.209166E+01
     4.5000   -1.594216E-02  5.270272E-02  1.225906E+01
     4.5500   -7.482044E-03  4.784335E-02  1.240934E+01
     4.6000   -1.099317E-03  4.360335E-02  1.254116E+01
     4.6500    3.550224E-03  4.027261E-02  1.265464E+01
     4.7000    7.072918E-03  3.784396E-02  1.275437E+01
     4.7500    1.007617E-02  3.632630E-02  1.284744E+01
     4.8000    1.307130E-02  3.562417E-02  1.294207E+01
     4.8500    1.643891E-02  3.566523E-02  1.304541E+01
     4.9000    2.026123E-02  3.614359E-02  1.316145E+01
     4.9500    2.443242E-02  3.686676E-02  1.329082E+01
     5.0000    2.870297E-02  3.768871E-02  1.343212E+01
     5.0500    3.290491E-02  3.866255E-02  1.358441E+01
     5.1000    3.658911E-02  3.960544E-02  1.374437E+01
     5.1500    3.947152E-02  4.050972E-02  1.391028E+01
     5.2000    4.132408E-02  4.138898E-02  1.408116E+01
     5.2500    4.206652E-02  4.237339E-02  1.425759E+01
     5.3000    4.141427E-02  4.337497E-02  1.443899E+01
     5.3500    3.919482E-02  4.439452E-02  1.462601E+01
     5.4000    3.524598E-02  4.541200E-02  1.481945E+01
     5.4500    2.948516E-02  4.651434E-02  1.502139E+01
     5.5000    2.181793E-02  4.751942E-02  1.523094E+01
     5.5500    1.241742E-02  4.835319E-02  1.544825E+01
     5.6000    1.703904E-03  4.893605E-02  1.567314E+01
     5.6500   -9.728404E-03  4.930270E-02  1.590659E+01
     5.7000   -2.091979E-02  4.926777E-02  1.614650E+01
     5.7500   -3.082176E-02  4.877063E-02  1.639206E+01
     5.8000   -3.841580E-02  4.776692E-02  1.664235E+01
     5.8500   -4.300292E-02  4.633126E-02  1.689741E+01
     5.9000   -4.400795E-02  4.434809E-02  1.715483E+01
     5.9500   -4.145181E-02  4.182948E-02  1.741324E+01
     6.0000   -3.586138E-02  3.880817E-02  1.767097E+01
     6.0500   -2.825307E-02  3.544631E-02  1.792713E+01
     6.1000   -1.975208E-02  3.168773E-02  1.817655E+01
     6.1500   -1.165241E-02  2.762911E-02  1.841419E+01
     6.2000   -5.055737E-03  2.339770E-02  1.863176E+01
     6.2500   -6.665711E-04  1.916847E-02  1.881477E+01
     6.3000    1.328292E-03  1.520733E-02  1.893701E+01
     6.3500    1.269480E-03  1.196715E-02  1.895584E+01
