 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  U1 O2
 Reduced formula:  UO2
 space group: (Fm-3m), space number:  (225)
 abc:  3.856567   3.856567   3.856567
 angles: 60.000000  60.000000  60.000000
 sites: 3
 mp-1597
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
 Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
 Gam_ch=8.104E+00 H-L exch
 Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   2  24.000   4.5222    2.0759   -4.65224 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -4.0905    1.3635   -1.3635  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.900  1.4905E+01  6.4890E-01 -2.3475E+01  1.059E+00  4.6830E+00  2.7901E+00
  2.000  1.4873E+01  6.5833E-01 -2.3725E+01  1.082E+00  4.7252E+00  2.8646E+00
  2.200  1.4783E+01  6.6934E-01 -2.4132E+01  1.115E+00  4.8183E+00  3.0243E+00
  2.400  1.4627E+01  6.6337E-01 -2.4324E+01  1.130E+00  4.9576E+00  3.2109E+00
  2.600  1.4497E+01  7.3207E-01 -2.4591E+01  1.309E+00  3.9491E+00  3.3868E+00
  2.800  1.4474E+01  7.6566E-01 -2.5145E+01  1.389E+00  3.6617E+00  3.5199E+00
  3.000  1.4442E+01  7.7943E-01 -2.5669E+01  1.431E+00  3.5306E+00  3.6569E+00
  3.200  1.4392E+01  7.7194E-01 -2.6130E+01  1.439E+00  3.4891E+00  3.8025E+00
  3.400  1.4333E+01  7.5255E-01 -2.6546E+01  1.433E+00  3.5004E+00  3.9537E+00
  3.600  1.4267E+01  7.2292E-01 -2.6925E+01  1.412E+00  3.5469E+00  4.1100E+00
  3.800  1.4196E+01  6.8613E-01 -2.7267E+01  1.387E+00  3.6187E+00  4.2709E+00
  4.000  1.4122E+01  6.4554E-01 -2.7583E+01  1.359E+00  3.7097E+00  4.4358E+00
  4.200  1.4044E+01  6.0230E-01 -2.7872E+01  1.328E+00  3.8161E+00  4.6044E+00
  4.400  1.3962E+01  5.5906E-01 -2.8140E+01  1.300E+00  3.9351E+00  4.7763E+00
  4.600  1.3876E+01  5.1721E-01 -2.8386E+01  1.270E+00  4.0646E+00  4.9510E+00
